teks,klasifikasi
alhamdulillah gag jerawat gede,POSITIF
kea jerawat pasir bawah mata mmbandel bget trus flek hitam gag mw ilang bingung kadang minder,NEGATIF
cobaa biaya cobaa cobaa,POSITIF
cream jerawat kulit ngelupas katanyasihganti selkulit mati tkut diemin gmna thx,POSITIF
cantik,POSITIF
kerudung bagus beli,NEGATIF
video liat cantiknyaa,NEGATIF
keren,POSITIF
lucu kelas sampe jerawat keluar jerawat,POSITIF
share obat jerawat,POSITIF
thanks info really enjoy read tips bcs funny badang,POSITIF
from malaysia,POSITIF
ngakak,POSITIF
ganteng,POSITIF
kesana cara gimana,POSITIF
indomie diindo lengkap,POSITIF
wih produk indonesia,POSITIF
kuliah amerika,POSITIF
indomie banyk sakit,POSITIF
salfok panda,POSITIF
aussie indomie ayam bawang masuk ngerti,POSITIF
kitketnya,NEGATIF
cantik,POSITIF
bareng,POSITIF
seruu happy haaaa,POSITIF
semangattt doa sukses cecepi,POSITIF
saskia gotik cantik tinggi,POSITIF
dememm sehat sucses slalu gotikk,POSITIF
sumpah cantik imut berby heee,POSITIF
wkwkwkkw koplak,NEGATIF
hahahaaa lucu lucu,POSITIF
gokel tambah lcu sukses trus gotik aamiin,POSITIF
cantik,POSITIF
kacamata lucu beli,POSITIF
lucu,POSITIF
senangnyaa hati celah ooo bulungbulung anjing sumpah ngakak allaah,NEGATIF
mobil rambut jeda kacamata mirip jennifer bachdim masaaaaaa,POSITIF
pacarlu ganteng aduuuuh gesrek,NEGATIF
lucu,POSITIF
sumpah kocak dilakuin penting penting,POSITIF
lucu bikin vlog bareng pacar,POSITIF
koplak lucu liat,NEGATIF
bikin vlog,POSITIF
lagu,POSITIF
vlog bikin fangirl tercegang,POSITIF
sosfam temennya mirip calum,NEGATIF
directioner lagu,POSITIF
lagu,POSITIF
lulaaa baru upload jam viewers,POSITIF
qna,POSITIF
cantik nice,POSITIF
kamera,NEGATIF
bikin vloog pacar,POSITIF
kalula cantikk,POSITIF
tngguin,NEGATIF
samsolese chanell samsolese,POSITIF
lucu,POSITIF
uploadddd banyaaaak,NEGATIF
samsolese bikin draw life,POSITIF
congras samsolese,POSITIF
subscribers,NEGATIF
bat rmh mampir kermh whahaha,POSITIF
samsolese bikin vlog main werewolf,POSITIF
maen jungleland daerah bogor,POSITIF
kakkk disebutin samaa arap,POSITIF
selamat rbu subscribe,POSITIF
